Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;İlan Tarihi;Boya-değişen;Araç Durumu;Link
1.070.000 TL;Opel;Astra;1.4 T Edition Plus;2017;94.500 km;Otomatik;56 lt;Beyaz;1364 cc;140 hp;Sedan;29.Kas.25;3 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-opel-astra-1-4-t-edition-plus/sahibinden-opel-astra-1-4-t-edition-plus-2017-model/35295899
235.000 TL;Opel;Vectra;1.6 GL;1998;310.000 km;Düz;LPG & Benzin;Beyaz;1401 - 1600 cm3;76 - 100 HP;Sedan;29.Kas.25;1 değişen, 8 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-vectra-1-6-gl/1998-model-opel-vectra-1-6-gl-16-v/35286131
1.085.000 TL;Opel;Corsa;1.2 Turbo Edition;2020;37.000 km;Otomatik;44 lt;Kırmızı;1199 cc;100 hp;Hatchback/5;29.Kas.25;2 değişen, 2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-2-turbo-edition/opel-corsa-2020-model-1-2-t-edition-otomatik-orjinal-37-bin-km/35169969
1.200.000 TL;Opel;Astra;1.5 D Edition;2023;43.000 km;Otomatik;Dizel;Gri (Gümüş);1401 - 1600 cm3;126 - 150 HP;Hatchback/5;29.Kas.25;1 değişen, 1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-5-d-edition/43-binde-piril-piril-astra/35282454
1.220.000 TL;Opel;Corsa;1.2 Turbo Ultimate;2021;58.000 km;Otomatik;44 lt;Kırmızı;1199 cc;130 hp;Hatchback/5;28.Kas.25;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-2-turbo-ultimate/elit-otodan-hatasiz-boyasiz-tramersiz/35276780
620.000 TL;Opel;Astra;1.6 Enjoy Plus;2012;225.000 km;Düz;52 lt;Siyah;1598 cc;115 hp;Sedan;28.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-6-enjoy-plus/hatasiz-degisensiz-boyasiz-tramersiz-j-kasa-opel-astra-1-6-enjoy-plus-2012-model/35269577
410.000 TL;Opel;Vectra;1.6 Comfort;2004;350.500 km;Düz;61 lt;Beyaz;1598 cc;100 hp;Sedan;28.Kas.25;3 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-vectra-1-6-comfort/galeriden-opel-vectra-1-6-comfort-2004-model-sanliurfa/32853543
;;;;;;;;;;;;;;;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-2-turbo-edition/hatasiz-boyasiz-2021-48-bin-km/35254980
835.000 TL;Opel;Astra;1.6 Edition Plus;2016;98.000 km;Düz;56 lt;Kahverengi;1598 cc;115 hp;Sedan;28.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-6-edition-plus/opel-astra-edition-plus-1-6-benzin-lpg-2016-98000km-hatasiz/35253926
725.000 TL;Opel;Astra;1.6 Edition;2015;54.000 km;Düz;56 lt;Beyaz;1598 cc;115 hp;Hatchback/5;28.Kas.25;4 değişen, 1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-6-edition/2015-opel-astra-54-000-km-1-6-edition/35242893
644.000 TL;Opel;Astra;1.6 Edition;2015;145.000 km;Düz;56 lt;Siyah;1598 cc;115 hp;Hatchback/5;28.Kas.25;2 değişen, 6 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-6-edition/sahibinden-temiz-araba/34753218
745.000 TL;Opel;Astra;1.6 CDTI Business;2015;245.000 km;Düz;52 lt;Beyaz;1598 cc;110 hp;Hatchback/5;27.Kas.25;1 değişen, 4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-6-cdti-business/galeriden-temiz-arac-ariyana-opel-astra-1-6-cdti-business-2015-model-diyarbakir/35224208
749.000 TL;Opel;Corsa;1.4 Twinport Enjoy;2011;150.000 km;Otomatik;LPG & Benzin;Beyaz;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;27.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-4-twinport-enjoy/ms-auto-dan-2011-ilk-el-150-000-km-hatasiz-boyasiz-otomatik/35213255
1.119.500 TL;Opel;Corsa;1.2 Turbo Edition;2020;69.500 km;Otomatik;44 lt;Gri;1199 cc;100 hp;Hatchback/5;27.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-2-turbo-edition/cinardan-hatasiz-boyasiz-69-bin-km/35212847
295.000 TL;Opel;Astra;1.3 CDTI Essentia;2006;282.000 km;Düz;52 lt;Beyaz;1248 cc;90 hp;Hatchback/5;27.Kas.25;6 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-3-cdti-essentia/opel-astra-cok-temiz-masrafsizdir/34674730
