Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Boya-değişen;Log_Fiyat
1195000.0;Volkswagen;Golf;1.4 TSi Highline;2015.0;155000;Otomatik;Benzin;;1395.0;125.0;Hatchback/5;Tamamı orjinal;13.99365758016748
1215000.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2011.0;146500;Yarı Otomatik;Benzin;;1390.0;122.0;Sedan;Tamamı orjinal;14.010255457801716
1715000.0;Volkswagen;Passat;1.5 TSi Business;2021.0;135000;Otomatik;Benzin;;1498.0;150.0;Sedan;2 boyalı;14.354924221672386
1020000.0;Volkswagen;Golf;1.4 TSi Trendline;2012.0;24000;Yarı Otomatik;Benzin;;1390.0;122.0;Hatchback/5;Tamamı orjinal;13.83531416565213
1445000.0;Volkswagen;Golf;1.4 TSi Highline;2016.0;103000;Otomatik;Benzin;;1300.5;113.0;Hatchback/5;Tamamı orjinal;14.183620571569952
1085000.0;Volkswagen;Jetta;1.2 TSi Trendline;2015.0;149550;Otomatik;Benzin;;1200.0;113.0;Sedan;2 boyalı;13.897091466615258
655000.0;Volkswagen;Golf;1.6 Trendline;2012.0;232000;Yarı Otomatik;Dizel;;1500.5;113.0;Hatchback/5;3 değişen, 5 boyalı;13.39239204133378
1265000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;297000;Otomatik;Dizel;;1598.0;120.0;Sedan;3 boyalı;14.05058347065728
2490000.0;Volkswagen;Golf;1.5 eTSI R Line;2024.0;26000;Otomatik;Benzin;;1498.0;150.0;Hatchback/5;Belirtilmemiş;14.727793670047236
435000.0;Volkswagen;Polo;1.4 Comfortline;2004.0;334000;Düz;Dizel;;1390.0;75.0;Hatchback/5;2 değişen, 4 boyalı;12.983103608918752
720000.0;Volkswagen;Polo;1.4 TDi Comfortline;2014.0;238000;Otomatik;Dizel;;1500.5;88.0;Hatchback/5;10 boyalı;13.487007879880162
675000.0;Volkswagen;Jetta;1.6 TDi Trendline;2013.0;232000;Otomatik;Dizel;;1598.0;105.0;Sedan;3 değişen, 4 boyalı;13.42246945133505
1375000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2018.0;220000;Otomatik;Dizel;;1598.0;120.0;Sedan;1 değişen, 2 boyalı;14.13396501635527
1760000.0;Volkswagen;Passat;1.5 TSi Business;2021.0;133000;Otomatik;Benzin;;1500.5;138.0;Sedan;Tamamı orjinal;14.38082493519599
1680000.0;Volkswagen;Passat;1.5 TSi Business;2020.0;155000;Otomatik;Benzin;;1500.5;138.0;Sedan;Tamamı orjinal;14.33430494661736
1345000.0;Volkswagen;Golf;1.4 TSi Highline;2015.0;137900;Otomatik;Benzin;;1300.5;113.0;Hatchback/5;2 boyalı;14.111905314512224
2440000.0;Volkswagen;Passat;1.6 TDi BlueMotion R Line;2020.0;127000;Otomatik;Dizel;;1500.5;113.0;Sedan;Tamamı orjinal;14.707509007105369
1200000.0;Volkswagen;Polo;1.0 TSi Comfortline;2020.0;65000;Otomatik;Benzin;;999.0;95.0;Hatchback/5;Tamamı orjinal;13.997832948091215
