Fiyat;Marka;Seri;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Log_Fiyat;Boya;Değişen
1195000.0;Volkswagen;Golf;2015.0;155000;Otomatik;Benzin;Beyaz;1395.0;125.0;Hatchback/5;13.99365758016748;0;0
1215000.0;Volkswagen;Passat;2011.0;146500;Yarı Otomatik;Benzin;Beyaz;1390.0;122.0;Sedan;14.010255457801716;0;0
1715000.0;Volkswagen;Passat;2021.0;135000;Otomatik;Benzin;Beyaz;1498.0;150.0;Sedan;14.354924221672386;2;0
1020000.0;Volkswagen;Golf;2012.0;24000;Yarı Otomatik;Benzin;Beyaz;1390.0;122.0;Hatchback/5;13.83531416565213;0;0
1445000.0;Volkswagen;Golf;2016.0;103000;Otomatik;Benzin;Beyaz;1300.5;113.0;Hatchback/5;14.183620571569952;0;0
1085000.0;Volkswagen;Jetta;2015.0;149550;Otomatik;Benzin;Beyaz;1200.0;113.0;Sedan;13.897091466615258;2;0
655000.0;Volkswagen;Golf;2012.0;232000;Yarı Otomatik;Dizel;Beyaz;1500.5;113.0;Hatchback/5;13.39239204133378;5;3
1265000.0;Volkswagen;Passat;2016.0;297000;Otomatik;Dizel;Beyaz;1598.0;120.0;Sedan;14.05058347065728;3;0
2490000.0;Volkswagen;Golf;2024.0;26000;Otomatik;Benzin;Beyaz;1498.0;150.0;Hatchback/5;14.727793670047236;0;0
435000.0;Volkswagen;Polo;2004.0;334000;Düz;Dizel;Beyaz;1390.0;75.0;Hatchback/5;12.983103608918752;4;2
720000.0;Volkswagen;Polo;2014.0;238000;Otomatik;Dizel;Beyaz;1500.5;88.0;Hatchback/5;13.487007879880162;10;0
675000.0;Volkswagen;Jetta;2013.0;232000;Otomatik;Dizel;Beyaz;1598.0;105.0;Sedan;13.42246945133505;4;3
1375000.0;Volkswagen;Passat;2018.0;220000;Otomatik;Dizel;Beyaz;1598.0;120.0;Sedan;14.13396501635527;2;1
1760000.0;Volkswagen;Passat;2021.0;133000;Otomatik;Benzin;Beyaz;1500.5;138.0;Sedan;14.38082493519599;0;0
1680000.0;Volkswagen;Passat;2020.0;155000;Otomatik;Benzin;Beyaz;1500.5;138.0;Sedan;14.33430494661736;0;0
1345000.0;Volkswagen;Golf;2015.0;137900;Otomatik;Benzin;Beyaz;1300.5;113.0;Hatchback/5;14.111905314512224;2;0
2440000.0;Volkswagen;Passat;2020.0;127000;Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;14.707509007105369;0;0
1200000.0;Volkswagen;Polo;2020.0;65000;Otomatik;Benzin;Beyaz;999.0;95.0;Hatchback/5;13.997832948091215;0;0
499900.0;Volkswagen;Polo;2012.0;245000;Yarı Otomatik;Dizel;Beyaz;1198.0;70.0;Hatchback/5;13.12216535779974;0;0
1060000.0;Volkswagen;Golf;2014.0;220000;Otomatik;Dizel;Beyaz;1598.0;105.0;Hatchback/5;13.87378040948403;0;0
1695000.0;Volkswagen;Passat;2016.0;159000;Otomatik;Dizel;Beyaz;1598.0;120.0;Sedan;14.343193888767017;1;0
