Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Boya-değişen
1195000.0;Volkswagen;Golf;1.4 TSi Highline;2015.0;155.000 km;;;;1395 cc;125 hp;Hatchback/5;Tamamı orjinal
1215000.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2011.0;146.500 km;;;;1390 cc;122 hp;Sedan;Tamamı orjinal
1715000.0;Volkswagen;Passat;1.5 TSi Business;2021.0;135.000 km;;;;1498 cc;150 hp;Sedan;2 boyalı
1020000.0;Volkswagen;Golf;1.4 TSi Trendline;2012.0;24.000 km;;;;1390 cc;122 hp;Hatchback/5;Tamamı orjinal
1445000.0;Volkswagen;Golf;1.4 TSi Highline;2016.0;103.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Hatchback/5;Tamamı orjinal
1085000.0;Volkswagen;Jetta;1.2 TSi Trendline;2015.0;149.550 km;;;;1200 cm3' e kadar;101 - 125 HP;Sedan;2 boyalı
655000.0;Volkswagen;Golf;1.6 Trendline;2012.0;232.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;3 değişen, 5 boyalı
1265000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;297.000 km;;;;1598 cc;120 hp;Sedan;3 boyalı
2490000.0;Volkswagen;Golf;1.5 eTSI R Line;2024.0;26.000 km;;;;1498 cc;150 hp;Hatchback/5;Belirtilmemiş
435000.0;Volkswagen;Polo;1.4 Comfortline;2004.0;334.000 km;;;;1390 cc;75 hp;Hatchback/5;2 değişen, 4 boyalı
720000.0;Volkswagen;Polo;1.4 TDi Comfortline;2014.0;238.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Hatchback/5;10 boyalı
675000.0;Volkswagen;Jetta;1.6 TDi Trendline;2013.0;232.000 km;;;;1598 cc;105 hp;Sedan;3 değişen, 4 boyalı
1375000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2018.0;220.000 km;;;;1598 cc;120 hp;Sedan;1 değişen, 2 boyalı
1760000.0;Volkswagen;Passat;1.5 TSi Business;2021.0;133.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;Tamamı orjinal
1680000.0;Volkswagen;Passat;1.5 TSi Business;2020.0;155.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;Tamamı orjinal
1345000.0;Volkswagen;Golf;1.4 TSi Highline;2015.0;137.900 km;;;;1201 - 1400 cm3;101 - 125 HP;Hatchback/5;2 boyalı
2440000.0;Volkswagen;Passat;1.6 TDi BlueMotion R Line;2020.0;127.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;Tamamı orjinal
1200000.0;Volkswagen;Polo;1.0 TSi Comfortline;2020.0;65.000 km;;;;999 cc;95 hp;Hatchback/5;Tamamı orjinal
499900.0;Volkswagen;Polo;1.2 TDi Trendline;2012.0;245.000 km;;;;1198 cc;70 hp;Hatchback/5;Belirtilmemiş
1060000.0;Volkswagen;Golf;1.6 TDi BlueMotion Comfortline;2014.0;220.000 km;;;;1598 cc;105 hp;Hatchback/5;Belirtilmemiş
1695000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;159.000 km;;;;1598 cc;120 hp;Sedan;1 boyalı
925000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2014.0;196.000 km;;;;1401 - 1600 cm3;-;Sedan;2 değişen, 6 boyalı
1020000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2013.0;233.500 km;;;;1598 cc;105 hp;Sedan;1 boyalı
1550000.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2018.0;118.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;3 boyalı
1365000.0;Volkswagen;Polo;1.0 TSi Life;2023.0;48.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal
265000.0;Volkswagen;Polo;1.4 TDi Comfortline;2001.0;316.000 km;;;;1401 - 1600 cm3;51 - 75 HP;Hatchback/5;2 değişen, 5 boyalı
905000.0;Volkswagen;Polo;1.4 TDi Comfortline;2014.0;170.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Hatchback/5;1 değişen, 2 boyalı
1685000.0;Volkswagen;Golf;1.4 TSi Highline;2018.0;105.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Hatchback/5;Tamamı orjinal
2130000.0;Volkswagen;Golf;1.5 eTSI Life;2024.0;12.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;Tamamı orjinal
1185000.0;Volkswagen;Polo;1.0 TSi Highline;2017.0;96.500 km;;;;999 cc;95 hp;Hatchback/5;Belirtilmemiş
1100000.0;Volkswagen;Jetta;1.4 TSi BlueMotion Comfortline;2015.0;93.800 km;;;;1395 cc;125 hp;Sedan;3 değişen
1525000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2019.0;170.000 km;;;;1598 cc;120 hp;Sedan;2 değişen, 1 boyalı
1690000.0;Volkswagen;Passat;1.6 TDi BlueMotion Business;2020.0;193.000 km;;;;1598 cc;120 hp;Station wagon;Tamamı orjinal
730000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2011.0;315.000 km;;;;1598 cc;105 hp;Sedan;1 değişen, 4 boyalı
