Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Boya-değişen;Log_Fiyat
1195000.0;Volkswagen;Golf;1.4 TSi Highline;2015.0;155.000 km;;;;1395 cc;125 hp;Hatchback/5;Tamamı orjinal;13.993657580167481
1215000.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2011.0;146.500 km;;;;1390 cc;122 hp;Sedan;Tamamı orjinal;14.010255457801716
1715000.0;Volkswagen;Passat;1.5 TSi Business;2021.0;135.000 km;;;;1498 cc;150 hp;Sedan;2 boyalı;14.354924221672386
1020000.0;Volkswagen;Golf;1.4 TSi Trendline;2012.0;24.000 km;;;;1390 cc;122 hp;Hatchback/5;Tamamı orjinal;13.83531416565213
1445000.0;Volkswagen;Golf;1.4 TSi Highline;2016.0;103.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Hatchback/5;Tamamı orjinal;14.183620571569953
1085000.0;Volkswagen;Jetta;1.2 TSi Trendline;2015.0;149.550 km;;;;1200 cm3' e kadar;101 - 125 HP;Sedan;2 boyalı;13.897091466615258
655000.0;Volkswagen;Golf;1.6 Trendline;2012.0;232.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;3 değişen, 5 boyalı;13.39239204133378
1265000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;297.000 km;;;;1598 cc;120 hp;Sedan;3 boyalı;14.05058347065728
2490000.0;Volkswagen;Golf;1.5 eTSI R Line;2024.0;26.000 km;;;;1498 cc;150 hp;Hatchback/5;Belirtilmemiş;14.727793670047236
435000.0;Volkswagen;Polo;1.4 Comfortline;2004.0;334.000 km;;;;1390 cc;75 hp;Hatchback/5;2 değişen, 4 boyalı;12.983103608918753
720000.0;Volkswagen;Polo;1.4 TDi Comfortline;2014.0;238.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Hatchback/5;10 boyalı;13.487007879880162
675000.0;Volkswagen;Jetta;1.6 TDi Trendline;2013.0;232.000 km;;;;1598 cc;105 hp;Sedan;3 değişen, 4 boyalı;13.42246945133505
1375000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2018.0;220.000 km;;;;1598 cc;120 hp;Sedan;1 değişen, 2 boyalı;14.13396501635527
1760000.0;Volkswagen;Passat;1.5 TSi Business;2021.0;133.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;Tamamı orjinal;14.38082493519599
1680000.0;Volkswagen;Passat;1.5 TSi Business;2020.0;155.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;Tamamı orjinal;14.33430494661736
1345000.0;Volkswagen;Golf;1.4 TSi Highline;2015.0;137.900 km;;;;1201 - 1400 cm3;101 - 125 HP;Hatchback/5;2 boyalı;14.111905314512224
2440000.0;Volkswagen;Passat;1.6 TDi BlueMotion R Line;2020.0;127.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;Tamamı orjinal;14.707509007105367
1200000.0;Volkswagen;Polo;1.0 TSi Comfortline;2020.0;65.000 km;;;;999 cc;95 hp;Hatchback/5;Tamamı orjinal;13.997832948091215
499900.0;Volkswagen;Polo;1.2 TDi Trendline;2012.0;245.000 km;;;;1198 cc;70 hp;Hatchback/5;Belirtilmemiş;13.12216535779974
1060000.0;Volkswagen;Golf;1.6 TDi BlueMotion Comfortline;2014.0;220.000 km;;;;1598 cc;105 hp;Hatchback/5;Belirtilmemiş;13.87378040948403
1695000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;159.000 km;;;;1598 cc;120 hp;Sedan;1 boyalı;14.343193888767015
925000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2014.0;196.000 km;;;;1401 - 1600 cm3;-;Sedan;2 değişen, 6 boyalı;13.73755009757506
1020000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2013.0;233.500 km;;;;1598 cc;105 hp;Sedan;1 boyalı;13.83531416565213
1550000.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2018.0;118.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;3 boyalı;14.253766134056512
1365000.0;Volkswagen;Polo;1.0 TSi Life;2023.0;48.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal;14.126665719201661
265000.0;Volkswagen;Polo;1.4 TDi Comfortline;2001.0;316.000 km;;;;1401 - 1600 cm3;51 - 75 HP;Hatchback/5;2 değişen, 5 boyalı;12.487488878546145
905000.0;Volkswagen;Polo;1.4 TDi Comfortline;2014.0;170.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Hatchback/5;1 değişen, 2 boyalı;13.715691327653829
1685000.0;Volkswagen;Golf;1.4 TSi Highline;2018.0;105.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Hatchback/5;Tamamı orjinal;14.337276715240233
2130000.0;Volkswagen;Golf;1.5 eTSI Life;2024.0;12.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;Tamamı orjinal;14.571633007169066
1185000.0;Volkswagen;Polo;1.0 TSi Highline;2017.0;96.500 km;;;;999 cc;95 hp;Hatchback/5;Belirtilmemiş;13.98525417643287
1100000.0;Volkswagen;Jetta;1.4 TSi BlueMotion Comfortline;2015.0;93.800 km;;;;1395 cc;125 hp;Sedan;3 değişen;13.910821646859095
1525000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2019.0;170.000 km;;;;1598 cc;120 hp;Sedan;2 değişen, 1 boyalı;14.23750562376114
1690000.0;Volkswagen;Passat;1.6 TDi BlueMotion Business;2020.0;193.000 km;;;;1598 cc;120 hp;Station wagon;Tamamı orjinal;14.340239678615058
730000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2011.0;315.000 km;;;;1598 cc;105 hp;Sedan;1 değişen, 4 boyalı;13.500801182986649
800000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2015.0;232.000 km;;;;1598 cc;105 hp;Sedan;1 değişen, 2 boyalı;13.592368256649284
1055000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2013.0;178.000 km;;;;1598 cc;105 hp;Sedan;4 boyalı;13.869052272759154
680000.0;Volkswagen;Passat;2.0 TDi Exclusive;2009.0;289.000 km;;;;1968 cc;140 hp;Sedan;6 boyalı;13.429849547739444
1465000.0;Volkswagen;Golf;1.6 TDi BlueMotion Highline;2018.0;149.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;Tamamı orjinal;14.19736648302693
279900.0;Volkswagen;Polo;1.4 Comfortline;2001.0;310.000 km;;;;1390 cc;100 hp;Hatchback/5;Belirtilmemiş;12.5421912482017
1165000.0;Volkswagen;Polo;1.2 TSi Comfortline;2017.0;65.000 km;;;;1197 cc;90 hp;Hatchback/5;Tamamı orjinal;13.968232503350668
1165000.0;Volkswagen;Polo;1.2 TSi Comfortline;2017.0;65.000 km;;;;1197 cc;90 hp;Hatchback/5;Tamamı orjinal;13.968232503350668
697500.0;Volkswagen;Jetta;1.6 Primeline;2008.0;199.000 km;;;;1595 cc;102 hp;Sedan;7 boyalı;13.455259226368387
1775000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;148.000 km;;;;1598 cc;120 hp;Sedan;Belirtilmemiş;14.389311544271775
1905000.0;Volkswagen;Passat;1.5 TSi Business;2022.0;93.000 km;;;;1498 cc;150 hp;Sedan;Tamamı orjinal;14.459993091477184
1255000.0;Volkswagen;Polo;1.0 TSi Life;2023.0;104.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal;14.042646927360453
985000.0;Volkswagen;Golf;1.6 TDi BlueMotion Comfortline;2014.0;235.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;Belirtilmemiş;13.800397935382136
