Link;Fiyat;İlan Tarihi;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Kasa Tipi;Renk;Motor Hacmi;Motor Gücü;Araç Durumu;Boya-değişen
https://www.arabam.com/ilan/sahibinden-satilik-audi-a3-sportback-1-6-tdi-attraction/sahibinden-otomatik-audi-a3-sportback-1-6-tdi-attraction-2012-model/35282689;1.040.000 TL;29 Kasım 2025;Audi;A3;A3 Sportback 1.6 TDI Attraction;2012;158.460 km;Yarı Otomatik;50 lt;Hatchback/3;Beyaz;1598 cc;105 hp;İkinci El;Tamamı orjinal
https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-1-4-tfsi-design/koseoglu-audi-a4-1-4-tfsi-design-122-bin-km-en-uygun-fiyat/32836934;1.495.000 TL;29 Kasım 2025;Audi;A4;A4 Sedan 1.4 TFSI Design;2015;124.000 km;Yarı Otomatik;54 lt;Sedan;Beyaz;1395 cc;150 hp;İkinci El;2 değişen, 1 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-2-0-tdi-dynamic/nokta-boyasiz-hatasiz-2017-model-2-0-tdi-limuzin-kasa-audi-a4/33648911;1.699.999 TL;29 Kasım 2025;Audi;A4;A4 Sedan 2.0 TDI Dynamic;2017;279.000 km;Yarı Otomatik;40 lt;Sedan;Beyaz;1968 cc;190 hp;İkinci El;Tamamı orjinal
https://www.arabam.com/ilan/galeriden-satilik-audi-a6-sedan-2-0-tdi/galeriden-audi-a6-sedan-2-0-tdi-2015-model-gaziantep/35276527;1.850.000 TL;28 Kasım 2025;Audi;A6;A6 Sedan 2.0 TDI;2015;260.000 km;Yarı Otomatik;65 lt;Sedan;Beyaz;1968 cc;190 hp;İkinci El;Belirtilmemiş
https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-2-0-tfsi-quattro/full-bakimli-a4-quattro/35256470;1.255.000 TL;28 Kasım 2025;Audi;A4;A4 Sedan 2.0 TFSI Quattro;2011;170.000 km;Yarı Otomatik;65 lt;Sedan;Siyah;1984 cc;211 hp;İkinci El;1 değişen, 3 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a6-sedan-2-0-tdi-quattro/2016-model-audi-a6-2-0tdi-quattro-185-000km-k-k-taksit/34126543;2.300.000 TL;28 Kasım 2025;Audi;A6;A6 Sedan 2.0 TDI Quattro;2016;185.000 km;Yarı Otomatik;65 lt;Sedan;Beyaz;1968 cc;190 hp;İkinci El;5 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-2-0-tdi/2014-audi-a4-2-0-tdi-multitronic-otomatik/33047814;1.275.000 TL;28 Kasım 2025;Audi;A4;A4 Sedan 2.0 TDI;2014;241.000 km;Otomatik;63 lt;Sedan;Beyaz;1968 cc;150 hp;İkinci El;3 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sportback-1-6-tdi-ambition/tertemiz-ve-gosterisli-cam-tavan-a3/34672352;1.090.000 TL;27 Kasım 2025;Audi;A3;A3 Sportback 1.6 TDI Ambition;2015;264.000 km;Otomatik;Dizel;Hatchback/5;Siyah;1401 - 1600 cm3;101 - 125 HP;İkinci El;2 değişen, 1 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-hatchback-1-6-ambition/demirbas-audi-a3-otomatik-vites-lpg-li-sorunsuz/34672238;370.000 TL;27 Kasım 2025;Audi;A3;A3 Hatchback 1.6 Ambition;1999;285.000 km;Otomatik;LPG & Benzin;Hatchback/3;Siyah;1401 - 1600 cm3;101 - 125 HP;İkinci El;Tamamı orjinal
https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-1-4-tfsi-design/2016-cikisli-audi-a4-sadece-55-bin-km-ful-orjinal/34462627;1.969.500 TL;27 Kasım 2025;Audi;A4;A4 Sedan 1.4 TFSI Design;2015;55.000 km;Yarı Otomatik;54 lt;Sedan;Siyah;1395 cc;150 hp;İkinci El;Tamamı orjinal
https://www.arabam.com/ilan/galeriden-satilik-audi-a4-sedan-2-0-tdi/mca-dan-2015-audi-a4-2-0-tdi-177-hp-otomatik/33557663;1.090.000 TL;27 Kasım 2025;Audi;A4;A4 Sedan 2.0 TDI;2015;309.000 km;Otomatik;Dizel;Sedan;Beyaz;1801 - 2000 cm3;176 - 200 HP;İkinci El;1 değişen, 3 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sportback-1-6-tdi-attraction/ars-nova-motors-audi-a3-degisensiz-1-6-tdi-144-bin-km/35060375;1.085.000 TL;26 Kasım 2025;Audi;A3;A3 Sportback 1.6 TDI Attraction;2012;143.000 km;Yarı Otomatik;55 lt;Hatchback/5;Siyah;1598 cc;105 hp;İkinci El;5 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sportback-1-6-tdi-attraction/2014-mod-a3-1-6-tdi-attraction-129500-km-hatasiz/33107845;1.269.000 TL;26 Kasım 2025;Audi;A3;A3 Sportback 1.6 TDI Attraction;2014;130.000 km;Otomatik;Dizel;Hatchback/5;Beyaz;1401 - 1600 cm3;101 - 125 HP;İkinci El;Belirtilmemiş
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sedan-1-0-tfsi-dynamic/orcunmotors-2016-audi-a3-sedan-1-0tfsi-116hp/29547369;1.135.000 TL;26 Kasım 2025;Audi;A3;A3 Sedan 1.0 TFSI Dynamic;2016;192.000 km;Yarı Otomatik;50 lt;Sedan;Beyaz;999 cc;116 hp;İkinci El;4 değişen
https://www.arabam.com/ilan/galeriden-satilik-audi-a6-sedan-2-0-tdi/full-bakimli-2014-audi-a6-2-0-tdi-177-hp-vakum-isitma-e-per/35124468;1.750.000 TL;25 Kasım 2025;Audi;A6;A6 Sedan 2.0 TDI;2014;245.000 km;Otomatik;Dizel;Sedan;Siyah;1801 - 2000 cm3;176 - 200 HP;İkinci El;4 boyalı
https://www.arabam.com/ilan/galeriden-satilik-audi-a5-sportback-40-tdi-quattro-advanced/vizyon-motorsdan-audi-a5-40-tdi-quattro-taba-advanced-hayalet/35124411;3.275.000 TL;25 Kasım 2025;Audi;A5;A5 Sportback 40 TDI Quattro Advanced;2020;130.000 km;Yarı Otomatik;58 lt;-;Siyah;1968 cc;204 hp;İkinci El;Belirtilmemiş
https://www.arabam.com/ilan/galeriden-satilik-audi-a5-sportback-40-tdi-quattro-s-line/hatasiz-audi-a5-s-line-premium-pkt-hybrid-matrix-far-keyless/35124394;3.675.000 TL;25 Kasım 2025;Audi;A5;A5 Sportback 40 TDI Quattro S Line;2021;79.900 km;Otomatik;Dizel;Hatchback/5;Mavi;1801 - 2000 cm3;201 - 225 HP;İkinci El;Tamamı orjinal
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sportback-1-6-ambition/altinay-boyasiz-2008-audi-a3-1-6-tam-otomatik-cam-tavan-188-000/35124127;865.000 TL;25 Kasım 2025;Audi;A3;A3 Sportback 1.6 Ambition;2008;188.000 km;Yarı Otomatik;55 lt;Hatchback/3;Siyah;1595 cc;102 hp;İkinci El;Tamamı orjinal
https://www.arabam.com/ilan/galeriden-satilik-audi-a3-sportback-35-tfsi-advanced/begoglu-otomotiv-2022-model-audi-a3-35-tfsi-1-5-hybrid-advanced/35124036;1.945.000 TL;25 Kasım 2025;Audi;A3;A3 Sportback 35 TFSI Advanced;2022;54.000 km;Yarı Otomatik;50 lt;Hatchback/5;Siyah;1498 cc;150 hp;İkinci El;1 değişen, 1 boyalı
