Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Boya-değişen
1.195.000 TL;Volkswagen;Golf;1.4 TSi Highline;2015.0;155.000 km;;;;1395 cc;125 hp;Hatchback/5;Tamamı orjinal
1.215.000 TL;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2011.0;146.500 km;;;;1390 cc;122 hp;Sedan;Tamamı orjinal
1.715.000 TL;Volkswagen;Passat;1.5 TSi Business;2021.0;135.000 km;;;;1498 cc;150 hp;Sedan;2 boyalı
1.020.000 TL;Volkswagen;Golf;1.4 TSi Trendline;2012.0;24.000 km;;;;1390 cc;122 hp;Hatchback/5;Tamamı orjinal
1.445.000 TL;Volkswagen;Golf;1.4 TSi Highline;2016.0;103.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Hatchback/5;Tamamı orjinal
1.085.000 TL;Volkswagen;Jetta;1.2 TSi Trendline;2015.0;149.550 km;;;;1200 cm3' e kadar;101 - 125 HP;Sedan;2 boyalı
655.000 TL;Volkswagen;Golf;1.6 Trendline;2012.0;232.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;3 değişen, 5 boyalı
1.265.000 TL;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;297.000 km;;;;1598 cc;120 hp;Sedan;3 boyalı
2.490.000 TL;Volkswagen;Golf;1.5 eTSI R Line;2024.0;26.000 km;;;;1498 cc;150 hp;Hatchback/5;Belirtilmemiş
435.000 TL;Volkswagen;Polo;1.4 Comfortline;2004.0;334.000 km;;;;1390 cc;75 hp;Hatchback/5;2 değişen, 4 boyalı
720.000 TL;Volkswagen;Polo;1.4 TDi Comfortline;2014.0;238.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Hatchback/5;10 boyalı
675.000 TL;Volkswagen;Jetta;1.6 TDi Trendline;2013.0;232.000 km;;;;1598 cc;105 hp;Sedan;3 değişen, 4 boyalı
1.375.000 TL;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2018.0;220.000 km;;;;1598 cc;120 hp;Sedan;1 değişen, 2 boyalı
1.760.000 TL;Volkswagen;Passat;1.5 TSi Business;2021.0;133.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;Tamamı orjinal
1.680.000 TL;Volkswagen;Passat;1.5 TSi Business;2020.0;155.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;Tamamı orjinal
1.345.000 TL;Volkswagen;Golf;1.4 TSi Highline;2015.0;137.900 km;;;;1201 - 1400 cm3;101 - 125 HP;Hatchback/5;2 boyalı
